source_idx,source_title,similar_title,weight
255,Modeling Chaotic Behavior of Stock Indices Using Intelligent Paradigms,Conscious Intelligent Systems - Part 1 : I X I,2
255,Modeling Chaotic Behavior of Stock Indices Using Intelligent Paradigms,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding",2
257,Meta-Learning Evolutionary Artificial Neural Networks,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",5
257,Meta-Learning Evolutionary Artificial Neural Networks,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,4
257,Meta-Learning Evolutionary Artificial Neural Networks,Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,3
257,Meta-Learning Evolutionary Artificial Neural Networks,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",3
257,Meta-Learning Evolutionary Artificial Neural Networks,Traffic Accident Analysis Using Decision Trees and Neural Networks,3
259,A Concurrent Fuzzy-Neural Network Approach for Decision Support Systems,Decision Support Systems Using Intelligent Paradigms,9
261,Business Intelligence from Web Usage Mining,"Adaptation of Mamdani Fuzzy Inference System Using Neuro - Genetic
  Approach for Tactical Air Combat Decision Support System",2
261,Business Intelligence from Web Usage Mining,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",2
261,Business Intelligence from Web Usage Mining,Terrorism Event Classification Using Fuzzy Inference Systems,2
262,"Adaptation of Mamdani Fuzzy Inference System Using Neuro - Genetic
  Approach for Tactical Air Combat Decision Support System",Decision Support Systems Using Intelligent Paradigms,4
262,"Adaptation of Mamdani Fuzzy Inference System Using Neuro - Genetic
  Approach for Tactical Air Combat Decision Support System","Multiagent Approach for the Representation of Information in a Decision
  Support System",4
262,"Adaptation of Mamdani Fuzzy Inference System Using Neuro - Genetic
  Approach for Tactical Air Combat Decision Support System",Decision Support Systems (DSS) in Construction Tendering Processes,4
262,"Adaptation of Mamdani Fuzzy Inference System Using Neuro - Genetic
  Approach for Tactical Air Combat Decision Support System",Business Intelligence from Web Usage Mining,2
262,"Adaptation of Mamdani Fuzzy Inference System Using Neuro - Genetic
  Approach for Tactical Air Combat Decision Support System","EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",2
263,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",Terrorism Event Classification Using Fuzzy Inference Systems,4
263,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,3
263,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",Meta-Learning Evolutionary Artificial Neural Networks,3
263,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation","Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",3
263,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",Operations for Learning with Graphical Models,2
264,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",Meta-Learning Evolutionary Artificial Neural Networks,5
264,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,4
264,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,3
264,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms","EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",3
264,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",Traffic Accident Analysis Using Decision Trees and Neural Networks,3
266,Traffic Accident Analysis Using Decision Trees and Neural Networks,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,3
266,Traffic Accident Analysis Using Decision Trees and Neural Networks,Meta-Learning Evolutionary Artificial Neural Networks,3
266,Traffic Accident Analysis Using Decision Trees and Neural Networks,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",3
266,Traffic Accident Analysis Using Decision Trees and Neural Networks,"Exploring the Decision Forest: An Empirical Investigation of Occam's
  Razor in Decision Tree Induction",2
266,Traffic Accident Analysis Using Decision Trees and Neural Networks,A System for Induction of Oblique Decision Trees,2
267,"Short Term Load Forecasting Models in Czech Republic Using Soft
  Computing Paradigms",DCT Based Texture Classification Using Soft Computing Approach,2
267,"Short Term Load Forecasting Models in Czech Republic Using Soft
  Computing Paradigms",A Soft Computing Model for Physicians' Decision Process,2
268,Decision Support Systems Using Intelligent Paradigms,A Concurrent Fuzzy-Neural Network Approach for Decision Support Systems,9
268,Decision Support Systems Using Intelligent Paradigms,"Adaptation of Mamdani Fuzzy Inference System Using Neuro - Genetic
  Approach for Tactical Air Combat Decision Support System",4
268,Decision Support Systems Using Intelligent Paradigms,"Multiagent Approach for the Representation of Information in a Decision
  Support System",3
268,Decision Support Systems Using Intelligent Paradigms,Decision Support Systems (DSS) in Construction Tendering Processes,3
268,Decision Support Systems Using Intelligent Paradigms,Indonesian Earthquake Decision Support System,2
269,Regression with respect to sensing actions and partial states,"A State-Based Regression Formulation for Domains with Sensing
  Actions<br> and Incomplete Information",7
269,Regression with respect to sensing actions and partial states,Knowledge And The Action Description Language A,2
269,Regression with respect to sensing actions and partial states,"Reasoning and Planning with Sensing Actions, Incomplete Information, and
  Static Causal Laws using Answer Set Programming",2
269,Regression with respect to sensing actions and partial states,Semi-Myopic Sensing Plans for Value Optimization,2
270,Propositional Defeasible Logic has Linear Complexity,Defeasible Logic Programming: An Argumentative Approach,3
270,Propositional Defeasible Logic has Linear Complexity,"Translating OWL and Semantic Web Rules into Prolog: Moving Toward
  Description Logic Programs",2
271,Pruning Search Space in Defeasible Argumentation,Defeasible Logic Programming: An Argumentative Approach,3
271,Pruning Search Space in Defeasible Argumentation,Integrating Defeasible Argumentation and Machine Learning Techniques,3
276,Decomposition Based Search - A theoretical and experimental evaluation,Decomposition During Search for Propagation-Based Constraint Solvers,2
277,Postponing Branching Decisions,"Certainty Closure: Reliable Constraint Reasoning with Incomplete or
  Erroneous Data",2
279,A Simple Proportional Conflict Redistribution Rule,Proportional Conflict Redistribution Rules for Information Fusion,5
279,A Simple Proportional Conflict Redistribution Rule,"A new generalization of the proportional conflict redistribution rule
  stable in terms of decision",5
279,A Simple Proportional Conflict Redistribution Rule,"Importance of Sources using the Repeated Fusion Method and the
  Proportional Conflict Redistribution Rules #5 and #6",5
279,A Simple Proportional Conflict Redistribution Rule,"Adaptative combination rule and proportional conflict redistribution
  rule for information fusion",4
279,A Simple Proportional Conflict Redistribution Rule,"An In-Depth Look at Information Fusion Rules & the Unification of Fusion
  Theories",2
281,FLUX: A Logic Programming Method for Reasoning Agents,ACLP: Integrating Abduction and Constraint Solving,2
281,FLUX: A Logic Programming Method for Reasoning Agents,Defeasible Logic Programming: An Argumentative Approach,2
281,FLUX: A Logic Programming Method for Reasoning Agents,Parametric Connectives in Disjunctive Logic Programming,2
281,FLUX: A Logic Programming Method for Reasoning Agents,On the Expressibility of Stable Logic Programming,2
281,FLUX: A Logic Programming Method for Reasoning Agents,Logic programming with social features,2
282,"Cauchy Annealing Schedule: An Annealing Schedule for Boltzmann Selection
  Scheme in Evolutionary Algorithms",Anisotropic selection in cellular genetic algorithms,2
283,Proportional Conflict Redistribution Rules for Information Fusion,"A new generalization of the proportional conflict redistribution rule
  stable in terms of decision",6
283,Proportional Conflict Redistribution Rules for Information Fusion,A Simple Proportional Conflict Redistribution Rule,5
283,Proportional Conflict Redistribution Rules for Information Fusion,"Importance of Sources using the Repeated Fusion Method and the
  Proportional Conflict Redistribution Rules #5 and #6",5
283,Proportional Conflict Redistribution Rules for Information Fusion,"Adaptative combination rule and proportional conflict redistribution
  rule for information fusion",4
283,Proportional Conflict Redistribution Rules for Information Fusion,"An In-Depth Look at Information Fusion Rules & the Unification of Fusion
  Theories",3
285,Unification of Fusion Theories,Tractability of Theory Patching,2
286,Normal forms for Answer Sets Programming,Fages' Theorem and Answer Set Programming,6
286,Normal forms for Answer Sets Programming,A semantic framework for preference handling in answer set programming,6
286,Normal forms for Answer Sets Programming,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",6
286,Normal forms for Answer Sets Programming,Open Answer Set Programming with Guarded Programs,6
286,Normal forms for Answer Sets Programming,Logic Programs with Compiled Preferences,5
287,"An In-Depth Look at Information Fusion Rules & the Unification of Fusion
  Theories",Proportional Conflict Redistribution Rules for Information Fusion,3
287,"An In-Depth Look at Information Fusion Rules & the Unification of Fusion
  Theories",A Simple Proportional Conflict Redistribution Rule,2
287,"An In-Depth Look at Information Fusion Rules & the Unification of Fusion
  Theories","Adaptative combination rule and proportional conflict redistribution
  rule for information fusion",2
287,"An In-Depth Look at Information Fusion Rules & the Unification of Fusion
  Theories","A new generalization of the proportional conflict redistribution rule
  stable in terms of decision",2
287,"An In-Depth Look at Information Fusion Rules & the Unification of Fusion
  Theories","Importance of Sources using the Repeated Fusion Method and the
  Proportional Conflict Redistribution Rules #5 and #6",2
291,"Generating Conditional Probabilities for Bayesian Networks: Easing the
  Knowledge Acquisition Problem",Exploiting Causal Independence in Bayesian Network Inference,2
294,"The Combination of Paradoxical, Uncertain, and Imprecise Sources of
  Information based on DSmT and Neutro-Fuzzy Inference","An Introduction to the DSm Theory for the Combination of Paradoxical,
  Uncertain, and Imprecise Sources of Information",15
294,"The Combination of Paradoxical, Uncertain, and Imprecise Sources of
  Information based on DSmT and Neutro-Fuzzy Inference",An introduction to DSmT,13
294,"The Combination of Paradoxical, Uncertain, and Imprecise Sources of
  Information based on DSmT and Neutro-Fuzzy Inference",DSmT: A new paradigm shift for information fusion,6
295,"Learning to automatically detect features for mobile robots using
  second-order Hidden Markov Models",A study of structural properties on profiles HMMs,2
296,Inferring knowledge from a large semantic network,Using RDF to Model the Structure and Process of Systems,3
296,Inferring knowledge from a large semantic network,Mean Field Theory for Sigmoid Belief Networks,2
296,Inferring knowledge from a large semantic network,Modeling Computations in a Semantic Network,2
297,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",Normal forms for Answer Sets Programming,6
297,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",Logic Programs with Compiled Preferences,5
297,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",Smodels: A System for Answer Set Programming,5
297,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",Fages' Theorem and Answer Set Programming,5
297,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",A semantic framework for preference handling in answer set programming,5
301,Corpus based Enrichment of GermaNet Verb Frames,Context Related Derivation of Word Senses,5
302,Context Related Derivation of Word Senses,Corpus based Enrichment of GermaNet Verb Frames,5
306,"Estimating Classification Uncertainty of Bayesian Decision Tree
  Technique on Financial Data","Comparison of the Bayesian and Randomised Decision Tree Ensembles within
  an Uncertainty Envelope Technique",4
307,"Comparison of the Bayesian and Randomised Decision Tree Ensembles within
  an Uncertainty Envelope Technique","Estimating Classification Uncertainty of Bayesian Decision Tree
  Technique on Financial Data",4
308,Proceedings of the Pacific Knowledge Acquisition Workshop 2004,A Hierarchy of Tractable Subsets for Computing Stable Models,2
308,Proceedings of the Pacific Knowledge Acquisition Workshop 2004,Adaptation Knowledge Discovery from a Case Base,2
308,Proceedings of the Pacific Knowledge Acquisition Workshop 2004,Case Base Mining for Adaptation Knowledge Acquisition,2
311,A Constrained Object Model for Configuration Based Workflow Composition,Enhanced Integrated Scoring for Cleaning Dirty Texts,3
315,Planning with Preferences using Logic Programming,Least Generalizations and Greatest Specializations of Sets of Clauses,2
315,Planning with Preferences using Logic Programming,Logic Programs with Compiled Preferences,2
315,Planning with Preferences using Logic Programming,A Framework for Compiling Preferences in Logic Programs,2
315,Planning with Preferences using Logic Programming,Defeasible Logic Programming: An Argumentative Approach,2
315,Planning with Preferences using Logic Programming,"Abductive Logic Programs with Penalization: Semantics, Complexity and
  Implementation",2
316,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,5
316,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",Approximation Algorithms for K-Modes Clustering,3
316,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",Operations for Learning with Graphical Models,2
316,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",Iterative Optimization and Simplification of Hierarchical Clusterings,2
316,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",A Model for Managing Collections of Patterns,2
317,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",5
317,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,Approximation Algorithms for K-Modes Clustering,4
317,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,Operations for Learning with Graphical Models,2
317,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,Iterative Optimization and Simplification of Hierarchical Clusterings,2
317,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,"Farthest-Point Heuristic based Initialization Methods for K-Modes
  Clustering",2
319,"Using Interval Particle Filtering for Marker less 3D Human Motion
  Capture",Markerless Human Motion Capture for Gait Analysis,3
320,Markerless Human Motion Capture for Gait Analysis,"Using Interval Particle Filtering for Marker less 3D Human Motion
  Capture",3
329,Mathematical Models in Schema Theory,On Building a Knowledge Base for Stability Theory,2
330,Truecluster: robust scalable clustering with model selection,Finite element model selection using Particle Swarm Optimization,2
333,"Certainty Closure: Reliable Constraint Reasoning with Incomplete or
  Erroneous Data",Postponing Branching Decisions,2
334,Avoiding the Bloat with Stochastic Grammar-based Genetic Programming,SYNERGY: A Linear Planner Based on Genetic Programming,2
336,Open Answer Set Programming with Guarded Programs,A semantic framework for preference handling in answer set programming,7
336,Open Answer Set Programming with Guarded Programs,Fages' Theorem and Answer Set Programming,6
336,Open Answer Set Programming with Guarded Programs,Normal forms for Answer Sets Programming,6
336,Open Answer Set Programming with Guarded Programs,An Application of Proof-Theory in Answer Set Programming,6
336,Open Answer Set Programming with Guarded Programs,Logic Programs with Compiled Preferences,5
337,Metatheory of actions: beyond consistency,"E-RES: A System for Reasoning about Actions, Events and Observations",3
337,Metatheory of actions: beyond consistency,Handling Defeasibilities in Action Domains,2
338,"Estimation of linear, non-gaussian causal models in the presence of
  confounding latent variables","Causes and Explanations: A Structural-Model Approach, Part I: Causes",3
338,"Estimation of linear, non-gaussian causal models in the presence of
  confounding latent variables","Causes and Explanations: A Structural-Model Approach. Part II:
  Explanations",2
340,Approximation Algorithms for K-Modes Clustering,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,4
340,Approximation Algorithms for K-Modes Clustering,"Farthest-Point Heuristic based Initialization Methods for K-Modes
  Clustering",4
340,Approximation Algorithms for K-Modes Clustering,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",3
340,Approximation Algorithms for K-Modes Clustering,Attribute Value Weighting in K-Modes Clustering,3
340,Approximation Algorithms for K-Modes Clustering,Iterative Optimization and Simplification of Hierarchical Clusterings,2
341,Can an Organism Adapt Itself to Unforeseen Circumstances?,Intelligent Systems: Architectures and Perspectives,3
341,Can an Organism Adapt Itself to Unforeseen Circumstances?,Conscious Intelligent Systems - Part 1 : I X I,3
341,Can an Organism Adapt Itself to Unforeseen Circumstances?,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding",3
341,Can an Organism Adapt Itself to Unforeseen Circumstances?,Operations for Learning with Graphical Models,2
341,Can an Organism Adapt Itself to Unforeseen Circumstances?,Anticipatory Guidance of Plot,2
342,"Adaptative combination rule and proportional conflict redistribution
  rule for information fusion",A Simple Proportional Conflict Redistribution Rule,4
342,"Adaptative combination rule and proportional conflict redistribution
  rule for information fusion",Proportional Conflict Redistribution Rules for Information Fusion,4
342,"Adaptative combination rule and proportional conflict redistribution
  rule for information fusion","A new generalization of the proportional conflict redistribution rule
  stable in terms of decision",4
342,"Adaptative combination rule and proportional conflict redistribution
  rule for information fusion","Importance of Sources using the Repeated Fusion Method and the
  Proportional Conflict Redistribution Rules #5 and #6",4
342,"Adaptative combination rule and proportional conflict redistribution
  rule for information fusion",On rho in a Decision-Theoretic Apparatus of Dempster-Shafer Theory,2
343,Retraction and Generalized Extension of Computing with Words,A Fuzzy Petri Nets Model for Computing With Words,5
343,Retraction and Generalized Extension of Computing with Words,A multivalued knowledge-base model,2
346,"Reasoning and Planning with Sensing Actions, Incomplete Information, and
  Static Causal Laws using Answer Set Programming",Smodels: A System for Answer Set Programming,3
346,"Reasoning and Planning with Sensing Actions, Incomplete Information, and
  Static Causal Laws using Answer Set Programming",Fages' Theorem and Answer Set Programming,3
346,"Reasoning and Planning with Sensing Actions, Incomplete Information, and
  Static Causal Laws using Answer Set Programming",A semantic framework for preference handling in answer set programming,3
346,"Reasoning and Planning with Sensing Actions, Incomplete Information, and
  Static Causal Laws using Answer Set Programming",Normal forms for Answer Sets Programming,3
346,"Reasoning and Planning with Sensing Actions, Incomplete Information, and
  Static Causal Laws using Answer Set Programming","Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",3
347,"Approximate Discrete Probability Distribution Representation using a
  Multi-Resolution Binary Tree",Utility-Probability Duality,2
347,"Approximate Discrete Probability Distribution Representation using a
  Multi-Resolution Binary Tree","Convergence of Expected Utilities with Algorithmic Probability
  Distributions",2
348,Diagnosability of Fuzzy Discrete Event Systems,Decentralized Failure Diagnosis of Stochastic Discrete Event Systems,4
349,Classification of Ordinal Data,Operations for Learning with Graphical Models,2
349,Classification of Ordinal Data,An Integrated Framework for Learning and Reasoning,2
349,Classification of Ordinal Data,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,2
349,Classification of Ordinal Data,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",2
349,Classification of Ordinal Data,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",2
350,Imagination as Holographic Processor for Text Animation,The Road to Quantum Artificial Intelligence,2
350,Imagination as Holographic Processor for Text Animation,Universal Intelligence: A Definition of Machine Intelligence,2
350,Imagination as Holographic Processor for Text Animation,Tests of Machine Intelligence,2
350,Imagination as Holographic Processor for Text Animation,Artificial Intelligence Techniques for Steam Generator Modelling,2
351,Belief Calculus,The Cumulative Rule for Belief Fusion,2
351,Belief Calculus,"Implementing general belief function framework with a practical
  codification for low complexity",2
351,Belief Calculus,A new probabilistic transformation of belief mass assignment,2
352,The Cumulative Rule for Belief Fusion,Belief Calculus,2
352,The Cumulative Rule for Belief Fusion,Belief Conditioning Rules (BCRs),2
352,The Cumulative Rule for Belief Fusion,Qualitative Belief Conditioning Rules (QBCR),2
352,The Cumulative Rule for Belief Fusion,General combination rules for qualitative and quantitative beliefs,2
354,Belief Conditioning Rules (BCRs),Qualitative Belief Conditioning Rules (QBCR),7
354,Belief Conditioning Rules (BCRs),Optimal Belief Revision,3
354,Belief Conditioning Rules (BCRs),SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,3
354,Belief Conditioning Rules (BCRs),Distance Semantics for Belief Revision,3
354,Belief Conditioning Rules (BCRs),Belief Revision and Rational Inference,3
355,Islands for SAT,When Gravity Fails: Local Search Topology,2
355,Islands for SAT,Foundations of the Pareto Iterated Local Search Metaheuristic,2
355,Islands for SAT,Online Estimation of SAT Solving Runtime,2
355,Islands for SAT,Online Search Cost Estimation for SAT Solvers,2
355,Islands for SAT,"A Local Search Modeling for Constrained Optimum Paths Problems (Extended
  Abstract)",2
356,About Norms and Causes,Representing Knowledge about Norms,2
357,Representing Knowledge about Norms,Generalization of Clauses under Implication,3
357,Representing Knowledge about Norms,A Hierarchy of Tractable Subsets for Computing Stable Models,2
357,Representing Knowledge about Norms,A Consistency-Based Model for Belief Change: Preliminary Report,2
357,Representing Knowledge about Norms,What does a conditional knowledge base entail?,2
357,Representing Knowledge about Norms,About Norms and Causes,2
358,"Target Type Tracking with PCR5 and Dempster's rules: A Comparative
  Analysis",Tracking object's type changes with fuzzy based fusion rule,5
359,Fusion of qualitative beliefs using DSmT,Enrichment of Qualitative Beliefs for Reasoning under Uncertainty,4
359,Fusion of qualitative beliefs using DSmT,Qualitative Belief Conditioning Rules (QBCR),3
359,Fusion of qualitative beliefs using DSmT,A Consistency-Based Model for Belief Change: Preliminary Report,2
359,Fusion of qualitative beliefs using DSmT,Value Based Argumentation Frameworks,2
359,Fusion of qualitative beliefs using DSmT,Belief Conditioning Rules (BCRs),2
360,"An Introduction to the DSm Theory for the Combination of Paradoxical,
  Uncertain, and Imprecise Sources of Information","The Combination of Paradoxical, Uncertain, and Imprecise Sources of
  Information based on DSmT and Neutro-Fuzzy Inference",15
360,"An Introduction to the DSm Theory for the Combination of Paradoxical,
  Uncertain, and Imprecise Sources of Information",An introduction to DSmT,13
360,"An Introduction to the DSm Theory for the Combination of Paradoxical,
  Uncertain, and Imprecise Sources of Information",DSmT: A new paradigm shift for information fusion,6
361,Relation Variables in Qualitative Spatial Reasoning,MUSE CSP: An Extension to the Constraint Satisfaction Problem,4
361,Relation Variables in Qualitative Spatial Reasoning,Breaking Value Symmetry,4
361,Relation Variables in Qualitative Spatial Reasoning,Symmetry within Solutions,4
361,Relation Variables in Qualitative Spatial Reasoning,Using Pivot Consistency to Decompose and Solve Functional CSPs,3
361,Relation Variables in Qualitative Spatial Reasoning,A Complete Classification of Tractability in RCC-5,3
362,Using Sets of Probability Measures to Represent Uncertainty,Updating Sets of Probabilities,5
362,Using Sets of Probability Measures to Represent Uncertainty,Conditional Plausibility Measures and Bayesian Networks,2
363,"A State-Based Regression Formulation for Domains with Sensing
  Actions<br> and Incomplete Information",Regression with respect to sensing actions and partial states,7
363,"A State-Based Regression Formulation for Domains with Sensing
  Actions<br> and Incomplete Information",Planning with Incomplete Information,2
363,"A State-Based Regression Formulation for Domains with Sensing
  Actions<br> and Incomplete Information",Knowledge And The Action Description Language A,2
363,"A State-Based Regression Formulation for Domains with Sensing
  Actions<br> and Incomplete Information","Reasoning and Planning with Sensing Actions, Incomplete Information, and
  Static Causal Laws using Answer Set Programming",2
364,Semantic Description of Parameters in Web Service Annotations,A Neutrosophic Description Logic,2
364,Semantic Description of Parameters in Web Service Annotations,Indexer Based Dynamic Web Services Discovery,2
367,"A Typed Hybrid Description Logic Programming Language with Polymorphic
  Order-Sorted DL-Typed Unification for Semantic Web Type Systems","Translating OWL and Semantic Web Rules into Prolog: Moving Toward
  Description Logic Programs",2
368,Why did the accident happen? A norm-based reasoning approach,Applying GSAT to Non-Clausal Formulas,2
368,Why did the accident happen? A norm-based reasoning approach,Defeasible Reasoning in OSCAR,2
368,Why did the accident happen? A norm-based reasoning approach,"E-RES: A System for Reasoning about Actions, Events and Observations",2
368,Why did the accident happen? A norm-based reasoning approach,Une expérience de sémantique inférentielle,2
369,Une expérience de sémantique inférentielle,Why did the accident happen? A norm-based reasoning approach,2
370,"Farthest-Point Heuristic based Initialization Methods for K-Modes
  Clustering",Approximation Algorithms for K-Modes Clustering,4
370,"Farthest-Point Heuristic based Initialization Methods for K-Modes
  Clustering",K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,2
374,Adaptation Knowledge Discovery from a Case Base,Case Base Mining for Adaptation Knowledge Acquisition,5
374,Adaptation Knowledge Discovery from a Case Base,Opportunistic Adaptation Knowledge Discovery,4
374,Adaptation Knowledge Discovery from a Case Base,Proceedings of the Pacific Knowledge Acquisition Workshop 2004,2
375,Decentralized Failure Diagnosis of Stochastic Discrete Event Systems,Diagnosability of Fuzzy Discrete Event Systems,4
376,DSmT: A new paradigm shift for information fusion,"The Combination of Paradoxical, Uncertain, and Imprecise Sources of
  Information based on DSmT and Neutro-Fuzzy Inference",6
376,DSmT: A new paradigm shift for information fusion,"An Introduction to the DSm Theory for the Combination of Paradoxical,
  Uncertain, and Imprecise Sources of Information",6
376,DSmT: A new paradigm shift for information fusion,An introduction to DSmT,4
376,DSmT: A new paradigm shift for information fusion,Proportional Conflict Redistribution Rules for Information Fusion,2
379,A Neutrosophic Description Logic,Semantic Description of Parameters in Web Service Annotations,2
379,A Neutrosophic Description Logic,"On the Failure of the Finite Model Property in some Fuzzy Description
  Logics",2
379,A Neutrosophic Description Logic,A multivalued knowledge-base model,2
380,"Genetic Programming for Kernel-based Learning with Co-evolving Subsets
  Selection","Fault Classification in Cylinders Using Multilayer Perceptrons, Support
  Vector Machines and Guassian Mixture Models",3
380,"Genetic Programming for Kernel-based Learning with Co-evolving Subsets
  Selection",On-Line Condition Monitoring using Computational Intelligence,3
381,"Functional Brain Imaging with Multi-Objective Multi-Modal Evolutionary
  Optimization","Can the whole brain be simpler than its ""parts""?",2
382,A Generic Global Constraint based on MDDs,Generic Global Constraints based on MDDs,6
382,A Generic Global Constraint based on MDDs,Learning DTW Global Constraint for Time Series Classification,3
382,A Generic Global Constraint based on MDDs,Reformulating Global Grammar Constraints,3
382,A Generic Global Constraint based on MDDs,Combining Symmetry Breaking and Global Constraints,3
382,A Generic Global Constraint based on MDDs,Decomposition of the NVALUE constraint,3
383,Conscious Intelligent Systems - Part 1 : I X I,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding",5
383,Conscious Intelligent Systems - Part 1 : I X I,Intelligent Systems: Architectures and Perspectives,3
383,Conscious Intelligent Systems - Part 1 : I X I,Can an Organism Adapt Itself to Unforeseen Circumstances?,3
383,Conscious Intelligent Systems - Part 1 : I X I,Modeling Chaotic Behavior of Stock Indices Using Intelligent Paradigms,2
383,Conscious Intelligent Systems - Part 1 : I X I,Phase transition in SONFIS&SORST,2
384,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding",Conscious Intelligent Systems - Part 1 : I X I,5
384,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding",Intelligent Systems: Architectures and Perspectives,3
384,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding",Can an Organism Adapt Itself to Unforeseen Circumstances?,3
384,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding",Modeling Chaotic Behavior of Stock Indices Using Intelligent Paradigms,2
384,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding","Multiagent Approach for the Representation of Information in a Decision
  Support System",2
385,Interactive Configuration by Regular String Constraints,BDD-based reasoning in the fluent calculus - first results,3
386,Truncating the loop series expansion for Belief Propagation,"Approximate inference on planar graphs using Loop Calculus and Belief
  Propagation",2
387,Attribute Value Weighting in K-Modes Clustering,Approximation Algorithms for K-Modes Clustering,3
389,Uniform and Partially Uniform Redistribution Rules,A Simple Proportional Conflict Redistribution Rule,2
389,Uniform and Partially Uniform Redistribution Rules,Proportional Conflict Redistribution Rules for Information Fusion,2
389,Uniform and Partially Uniform Redistribution Rules,Fusion of qualitative beliefs using DSmT,2
389,Uniform and Partially Uniform Redistribution Rules,"A new generalization of the proportional conflict redistribution rule
  stable in terms of decision",2
389,Uniform and Partially Uniform Redistribution Rules,A new probabilistic transformation of belief mass assignment,2
390,Generic Global Constraints based on MDDs,A Generic Global Constraint based on MDDs,6
390,Generic Global Constraints based on MDDs,Learning DTW Global Constraint for Time Series Classification,3
390,Generic Global Constraints based on MDDs,Reformulating Global Grammar Constraints,3
